date,neighborhood,city,cases
2020-03-17,Bell Gardens,NA,NA
2020-03-18,Bell Gardens,NA,NA
2020-03-19,Bell Gardens,NA,NA
2020-03-20,Bell Gardens,NA,NA
2020-03-21,Bell Gardens,NA,NA
2020-03-22,Bell Gardens,NA,NA
2020-03-23,Bell Gardens,NA,NA
2020-03-24,Bell Gardens,NA,NA
2020-03-25,Bell Gardens,Bell Gardens,3
2020-03-26,Bell Gardens,Bell Gardens*,3
2020-03-27,Bell Gardens,City of Bell Gardens,1
2020-03-10,Bellflower,NA,NA
2020-03-11,Bellflower,NA,NA
2020-03-12,Bellflower,NA,NA
2020-03-13,Bellflower,NA,NA
2020-03-14,Bellflower,NA,NA
2020-03-15,Bellflower,NA,NA
2020-03-16,Bellflower,NA,NA
2020-03-17,Bellflower,NA,NA
2020-03-18,Bellflower,NA,NA
2020-03-19,Bellflower,NA,NA
2020-03-20,Bellflower,NA,NA
2020-03-21,Bellflower,NA,NA
2020-03-22,Bellflower,Bellflower,1
2020-03-23,Bellflower,Bellflower,3
2020-03-24,Bellflower,Bellflower,3
2020-03-25,Bellflower,Bellflower,7
2020-03-26,Bellflower,Bellflower*,8
2020-03-27,Bellflower,City of Bellflower,10
2020-03-10,Beverly Crest,NA,NA
2020-03-11,Beverly Crest,NA,NA
2020-03-12,Beverly Crest,NA,NA
2020-03-13,Beverly Crest,NA,NA
2020-03-14,Beverly Crest,NA,NA
2020-03-15,Beverly Crest,NA,NA
2020-03-16,Beverly Crest,NA,NA
2020-03-17,Beverly Crest,NA,NA
2020-03-18,Beverly Crest,NA,NA
2020-03-19,Beverly Crest,NA,NA
2020-03-20,Beverly Crest,NA,NA
2020-03-21,Beverly Crest,NA,NA
2020-03-22,Beverly Crest,NA,NA
2020-03-23,Beverly Crest,NA,NA
2020-03-24,Beverly Crest,NA,NA
2020-03-25,Beverly Crest,NA,NA
2020-03-26,Beverly Crest,NA,NA
2020-03-27,Beverly Crest,Los Angeles,14
2020-03-10,Beverly Grove,NA,NA
2020-03-11,Beverly Grove,NA,NA
2020-03-12,Beverly Grove,NA,NA
2020-03-13,Beverly Grove,NA,NA
2020-03-14,Beverly Grove,NA,NA
2020-03-15,Beverly Grove,NA,NA
2020-03-16,Beverly Grove,NA,NA
2020-03-17,Beverly Grove,NA,NA
2020-03-18,Beverly Grove,NA,NA
2020-03-19,Beverly Grove,NA,NA
2020-03-20,Beverly Grove,NA,NA
2020-03-21,Beverly Grove,NA,NA
2020-03-22,Beverly Grove,NA,NA
2020-03-23,Beverly Grove,NA,NA
2020-03-24,Beverly Grove,NA,NA
2020-03-25,Beverly Grove,NA,NA
2020-03-26,Beverly Grove,NA,NA
2020-03-27,Beverly Grove,NA,NA
2020-03-10,Beverly Hills,NA,NA
2020-03-11,Beverly Hills,NA,NA
2020-03-12,Beverly Hills,NA,NA
2020-03-13,Beverly Hills,NA,NA
2020-03-14,Beverly Hills,NA,NA
2020-03-15,Beverly Hills,NA,NA
2020-03-16,Beverly Hills,NA,NA
2020-03-17,Beverly Hills,Beverly Hills,1
2020-03-18,Beverly Hills,Beverly Hills,4
2020-03-19,Beverly Hills,Beverly Hills,4
2020-03-20,Beverly Hills,Beverly Hills --,5
2020-03-21,Beverly Hills,Beverly Hills,7
2020-03-22,Beverly Hills,Beverly Hills,8
2020-03-23,Beverly Hills,Beverly Hills,12
2020-03-24,Beverly Hills,Beverly Hills,12
2020-03-25,Beverly Hills,Beverly Hills,13
2020-03-26,Beverly Hills,Beverly Hills,15
2020-03-27,Beverly Hills,City of Beverly Hills,21
2020-03-10,Beverlywood,NA,NA
2020-03-11,Beverlywood,NA,NA
2020-03-12,Beverlywood,NA,NA
2020-03-13,Beverlywood,NA,NA
2020-03-14,Beverlywood,NA,NA
2020-03-15,Beverlywood,NA,NA
2020-03-16,Beverlywood,NA,NA
2020-03-17,Beverlywood,NA,NA
2020-03-18,Beverlywood,NA,NA
2020-03-19,Beverlywood,Beverlywood --,2
2020-03-20,Beverlywood,Beverlywood --,2
2020-03-21,Beverlywood,Beverlywood,5
2020-03-22,Beverlywood,Beverlywood,6
2020-03-23,Beverlywood,Beverlywood,7
2020-03-24,Beverlywood,Beverlywood,7
2020-03-25,Beverlywood,Beverlywood,8
2020-03-26,Beverlywood,Beverlywood*,10
2020-03-27,Beverlywood,Los Angeles,8
2020-03-10,Boyle Heights,NA,NA
2020-03-11,Boyle Heights,NA,NA
2020-03-12,Boyle Heights,NA,NA
2020-03-13,Boyle Heights,NA,NA
2020-03-14,Boyle Heights,NA,NA
2020-03-15,Boyle Heights,NA,NA
2020-03-16,Boyle Heights,NA,NA
2020-03-17,Boyle Heights,Boyle Heights,5
2020-03-18,Boyle Heights,Los Angeles,5
2020-03-19,Boyle Heights,Boyle Heights --,5
2020-03-20,Boyle Heights,Boyle Heights --,5
2020-03-21,Boyle Heights,Boyle Heights,5
2020-03-22,Boyle Heights,Boyle Heights,5
2020-03-23,Boyle Heights,Boyle Heights,5
2020-03-24,Boyle Heights,Boyle Heights,5
2020-03-25,Boyle Heights,Boyle Heights,5
2020-03-26,Boyle Heights,Boyle Heights,7
2020-03-27,Boyle Heights,Los Angeles,8
2020-03-10,Bradbury,NA,NA
2020-03-11,Bradbury,NA,NA
2020-03-12,Bradbury,NA,NA
2020-03-13,Bradbury,NA,NA
2020-03-14,Bradbury,NA,NA
2020-03-15,Bradbury,NA,NA
2020-03-16,Bradbury,NA,NA
2020-03-17,Bradbury,NA,NA
2020-03-18,Bradbury,NA,NA
2020-03-19,Bradbury,NA,NA
2020-03-20,Bradbury,NA,NA
2020-03-21,Bradbury,NA,NA
2020-03-22,Bradbury,NA,NA
2020-03-23,Bradbury,NA,NA
2020-03-24,Bradbury,NA,NA
2020-03-25,Bradbury,NA,NA
2020-03-26,Bradbury,NA,NA
2020-03-27,Bradbury,City of Bradbury,0
2020-03-27,Bradbury,Unincorporated,0
2020-03-10,Brentwood,NA,NA
2020-03-11,Brentwood,NA,NA
2020-03-12,Brentwood,NA,NA
2020-03-13,Brentwood,NA,NA
2020-03-14,Brentwood,NA,NA
2020-03-15,Brentwood,NA,NA
2020-03-16,Brentwood,NA,NA
2020-03-17,Brentwood,Brentwood --,1
2020-03-18,Brentwood,Los Angeles,2
2020-03-19,Brentwood,Brentwood,13
2020-03-20,Brentwood,Brentwood --,16
2020-03-21,Brentwood,Brentwood,18
2020-03-22,Brentwood,Brentwood,23
2020-03-23,Brentwood,Brentwood,27
2020-03-24,Brentwood,Brentwood,31
2020-03-25,Brentwood,Brentwood,34
2020-03-26,Brentwood,Brentwood*,42
2020-03-27,Brentwood,Los Angeles,30
2020-03-10,Broadway-Manchester,NA,NA
2020-03-11,Broadway-Manchester,NA,NA
2020-03-12,Broadway-Manchester,NA,NA
2020-03-13,Broadway-Manchester,NA,NA
2020-03-14,Broadway-Manchester,NA,NA
2020-03-15,Broadway-Manchester,NA,NA
2020-03-16,Broadway-Manchester,NA,NA
2020-03-17,Broadway-Manchester,NA,NA
2020-03-18,Broadway-Manchester,NA,NA
2020-03-19,Broadway-Manchester,NA,NA
2020-03-20,Broadway-Manchester,NA,NA
2020-03-21,Broadway-Manchester,NA,NA
2020-03-22,Broadway-Manchester,NA,NA
2020-03-23,Broadway-Manchester,NA,NA
2020-03-24,Broadway-Manchester,NA,NA
2020-03-25,Broadway-Manchester,NA,NA
2020-03-26,Broadway-Manchester,NA,NA
2020-03-27,Broadway-Manchester,NA,NA
2020-03-10,Burbank,NA,NA
2020-03-11,Burbank,NA,NA
2020-03-12,Burbank,NA,NA
2020-03-13,Burbank,NA,NA
2020-03-14,Burbank,NA,NA
2020-03-15,Burbank,NA,NA
2020-03-16,Burbank,NA,NA
2020-03-17,Burbank,NA,NA
2020-03-18,Burbank,NA,NA
2020-03-19,Burbank,Burbank --,1
2020-03-20,Burbank,Burbank,1
2020-03-21,Burbank,Burbank,1
2020-03-22,Burbank,Burbank,2
2020-03-23,Burbank,Burbank,2
2020-03-24,Burbank,Burbank,2
2020-03-25,Burbank,Burbank,3
2020-03-26,Burbank,Burbank,6
2020-03-27,Burbank,City of Burbank,7
2020-03-10,Calabasas,NA,NA
2020-03-11,Calabasas,NA,NA
2020-03-12,Calabasas,NA,NA
2020-03-13,Calabasas,NA,NA
2020-03-14,Calabasas,NA,NA
2020-03-15,Calabasas,NA,NA
2020-03-16,Calabasas,NA,NA
2020-03-17,Calabasas,NA,NA
2020-03-18,Calabasas,NA,NA
2020-03-19,Calabasas,Calabasas,1
2020-03-20,Calabasas,Calabasas --,1
2020-03-21,Calabasas,Calabasas,1
2020-03-22,Calabasas,Calabasas,2
2020-03-23,Calabasas,Calabasas,3
2020-03-24,Calabasas,Calabasas,4
2020-03-25,Calabasas,Calabasas,4
2020-03-26,Calabasas,Calabasas*,5
2020-03-27,Calabasas,City of Calabasas,7
2020-03-10,Canoga Park,NA,NA
2020-03-11,Canoga Park,NA,NA
2020-03-12,Canoga Park,NA,NA
2020-03-13,Canoga Park,NA,NA
2020-03-14,Canoga Park,NA,NA
2020-03-15,Canoga Park,NA,NA
2020-03-16,Canoga Park,NA,NA
2020-03-17,Canoga Park,NA,NA
2020-03-18,Canoga Park,NA,NA
2020-03-19,Canoga Park,NA,NA
2020-03-20,Canoga Park,NA,NA
2020-03-21,Canoga Park,NA,NA
2020-03-22,Canoga Park,Canoga Park,1
2020-03-23,Canoga Park,Canoga Park,2
2020-03-24,Canoga Park,Canoga Park,2
2020-03-25,Canoga Park,Canoga Park,2
2020-03-26,Canoga Park,Canoga Park,3
2020-03-27,Canoga Park,Los Angeles,2
2020-03-10,Carson,NA,NA
2020-03-11,Carson,NA,NA
2020-03-12,Carson,NA,NA
2020-03-13,Carson,NA,NA
2020-03-14,Carson,NA,NA
2020-03-15,Carson,NA,NA
2020-03-16,Carson,NA,NA
2020-03-17,Carson,Carson,1
2020-03-18,Carson,Carson,1
2020-03-19,Carson,Carson,1
2020-03-20,Carson,Carson --,3
2020-03-21,Carson,Carson,3
2020-03-22,Carson,Carson,4
2020-03-23,Carson,Carson,6
2020-03-24,Carson,Carson,8
2020-03-25,Carson,Carson,9
2020-03-26,Carson,Carson*,21
2020-03-27,Carson,City of Carson,21
2020-03-10,Carthay,NA,NA
2020-03-11,Carthay,NA,NA
2020-03-12,Carthay,NA,NA
2020-03-13,Carthay,NA,NA
2020-03-14,Carthay,NA,NA
2020-03-15,Carthay,NA,NA
2020-03-16,Carthay,NA,NA
2020-03-17,Carthay,NA,NA
2020-03-18,Carthay,NA,NA
2020-03-19,Carthay,NA,NA
2020-03-20,Carthay,NA,NA
2020-03-21,Carthay,NA,NA
2020-03-22,Carthay,NA,NA
2020-03-23,Carthay,NA,NA
2020-03-24,Carthay,NA,NA
2020-03-25,Carthay,NA,NA
2020-03-26,Carthay,NA,NA
2020-03-27,Carthay,Los Angeles,7
2020-03-10,Castaic,NA,NA
2020-03-11,Castaic,NA,NA
2020-03-12,Castaic,NA,NA
2020-03-13,Castaic,NA,NA
2020-03-14,Castaic,NA,NA
2020-03-15,Castaic,NA,NA
2020-03-16,Castaic,NA,NA
2020-03-17,Castaic,NA,NA
2020-03-18,Castaic,NA,NA
2020-03-19,Castaic,Castaic --,1
2020-03-20,Castaic,Castaic --,1
2020-03-21,Castaic,Castaic,1
2020-03-22,Castaic,Castaic,1
2020-03-23,Castaic,Castaic,1
2020-03-24,Castaic,Castaic,2
2020-03-25,Castaic,Castaic,2
2020-03-26,Castaic,Castaic,2
2020-03-27,Castaic,Unincorporated,3
2020-03-10,Castaic Canyons,NA,NA
2020-03-11,Castaic Canyons,NA,NA
2020-03-12,Castaic Canyons,NA,NA
2020-03-13,Castaic Canyons,NA,NA
2020-03-14,Castaic Canyons,NA,NA
2020-03-15,Castaic Canyons,NA,NA
2020-03-16,Castaic Canyons,NA,NA
2020-03-17,Castaic Canyons,NA,NA
2020-03-18,Castaic Canyons,NA,NA
2020-03-19,Castaic Canyons,NA,NA
2020-03-20,Castaic Canyons,NA,NA
2020-03-21,Castaic Canyons,NA,NA
2020-03-22,Castaic Canyons,NA,NA
2020-03-23,Castaic Canyons,NA,NA
2020-03-24,Castaic Canyons,NA,NA
